Key;Straftat;Tatverdächtige insgesamt;Deutschland;Nichtdeutsche insgesamt;Afghanistan;Ägypten;Albanien;Algerien;Andorra;Angola;Antigua und Barbuda;Äquatorialguinea;Argentinien;Armenien;Aserbaidschan;Äthiopien;Australien;Bahamas;Bahrain;Bangladesch;Barbados;Belgien;Belize;Benin;Bhutan;Bolivien;Bosnien und Herzegowina;Botsuana;Brasilien;Brunei;Bulgarien;Burkina Faso;Burundi;Chile;China;Costa Rica;Cote d'Ivoire;Dänemark;Dominica;Dominikanische Republik;Dschibuti;Ecuador;El Salvador;Eritrea;Estland;Fidschi;Finnland;Frankreich;Gabun;Gambia;Georgien;Ghana;Grenada;Griechenland;Großbritannien/Nordirland;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Indien;Indonesien;Irak;Iran;Irland;Island;Israel;Italien;Jamaika;Japan;Jemen;Jordanien;Kambodscha;Kamerun;Kanada;Kap Verde;Kasachstan;Katar;Kenia;Kirgisistan;Kiribati;Kolumbien;Komoren;Kongo, Demokratische Republik;Kongo, Republik;Korea, Republik;Korea, Volksrepublik;Kosovo;Kroatien;Kuba;Kuwait;Laos;Lesotho;Lettland;Libanon;Liberia;Libyen;Liechtenstein;Litauen;Luxemburg;Madagaskar;Malawi;Malaysia;Malediven;Mali;Malta;Marokko;Mauretanien;Mauritius;Mazedonien;Mexiko;Moldau;Monaco;Mongolei;Montenegro;Mosambik;Myanmar;Namibia;Nepal;Neuseeland;Nicaragua;Niederlande;Niger;Nigeria;Norwegen;Oman;Österreich;Pakistan;Palau;Panama;Papua-Neuguinea;Paraguay;Peru;Philippinen;Polen;Portugal;Ruanda;Rumänien;Russische Föderation;Salomonen;Sambia;Samoa;San Marino;Sao Tome und Principe;Saudi-Arabien;Schweden;Schweiz;Senegal;Serbien;Seychellen;Sierra Leone;Simbabwe;Singapur;Slowakei;Slowenien;Somalia;Spanien;Sri Lanka;St. Kitts und Nevis;St. Lucia;St. Vincent;Südafrika;Südsudan;Sudan (ohne Südsudan);Suriname;Syrien;Tadschikistan;Taiwan;Tansania;Thailand;Timor-Leste;Togo;Tonga;Trinidad und Tobago;Tschad;Tschechische Republik;Tunesien;Türkei;Turkmenistan;Uganda;Ukraine;Ungarn;Uruguay;USA;Usbekistan;Venezuela;Vereinigte Arabische Emirate;Vietnam;Weißrussland (Belarus);Zentralafrikanische Republik;Zypern;Staatenlos;Ohne Angabe;Ungeklärt
55;Anzahl in Deutschland lebender Menschen (https://de.statista.com/statistik/daten/studie/1221/umfrage/anzahl-der-auslaender-in-deutschland-nach-herkunftsland/);82000000;71376060;10623940;251640;29600;48705;19845;55;5350;25;135;5305;26830;25325;19075;13525;55;480;13535;155;29825;50;2930;150;1885;180950;140;42580;30;310415;2115;400;7950;136460;1360;6300;24910;200;6440;135;5320;1085;66665;7255;415;17465;149025;475;16455;24685;33900;70;362245;116465;875;14375;1435;70;625;1020;108965;18610;237365;102760;17560;1520;13795;643065;1385;36600;5540;11520;980;22320;17505;315;46650;1060;11515;8575;35;16060;70;8975;1750;34420;950;208505;367900;8400;3310;805;45;38290;41375;1150;14850;250;53155;19440;2155;210;5500;80;3140;710;75620;740;1260;99435;15815;17245;15;6030;21410;2085;1685;680;6990;3205;760;154630;1210;56420;6755;540;191305;73000;5;480;60;1450;9810;22950;866855;146810;1145;622780;249205;10;490;35;25;20;5350;23990;40765;4995;225535;185;4395;1865;2220;57225;29295;38675;178010;25900;25;115;60;6090;330;7760;45;698950;5360;7620;1690;58820;5;10615;40;430;715;59975;34140;1483515;1925;2205;138045;207025;660;117730;8655;5610;3715;92485;22385;205;2590;24650;1770;76850
1;Straftaten insgesamt;2112715;1376450;736265;33298;3259;17952;9660;3;702;4;51;383;4849;3239;2533;424;4;38;967;18;1806;5;694;8;85;9734;11;2326;1;19934;566;49;408;4021;85;2091;880;157;578;29;319;94;11304;383;6;269;6728;80;5915;7671;4018;6;9854;3016;63;5347;911;10;50;82;5197;310;26713;15071;551;53;910;22581;292;194;711;1126;64;3044;462;34;2492;94;1043;379;1;916;14;761;856;456;65;15441;9371;811;455;40;1;2842;6396;413;3405;12;4885;655;70;28;120;2;1290;21;13617;209;117;9735;766;4957;2;696;2433;186;108;69;203;92;58;6734;382;12491;247;36;4787;9097;1;19;3;73;447;638;44450;4224;103;52575;15125;5;44;4;2;2;524;748;2426;1453;25396;16;1536;173;56;3233;1179;9934;4567;1207;3;7;4;294;120;2844;11;54662;719;112;184;1655;1;1028;9;36;262;4809;5627;73130;289;255;8688;6620;38;4229;406;481;245;3918;1611;88;55;2387;1052;15568
0;Straftaten gegen das Leben;3713;2425;1288;96;5;29;18;0;0;0;0;0;6;5;5;1;0;0;0;0;3;0;1;0;0;19;0;0;0;28;0;0;0;5;0;0;0;0;0;0;0;0;20;2;0;1;3;0;9;8;5;0;22;7;0;6;2;0;1;0;9;0;34;23;0;0;2;45;2;0;0;3;0;3;0;0;2;0;2;0;0;2;0;0;1;1;0;32;12;0;0;0;0;5;14;3;3;0;7;0;0;0;0;0;1;0;20;0;0;18;1;6;0;0;6;0;0;0;0;0;0;9;1;16;1;0;4;34;0;0;0;0;1;0;66;3;0;68;33;0;0;1;0;0;0;0;0;3;38;0;0;1;0;4;0;17;12;1;0;0;0;0;0;9;0;114;0;0;0;3;0;1;0;0;0;6;13;201;0;0;9;10;0;13;1;0;1;5;0;0;0;11;3;11
10000;Mord § 211 StGB;823;516;307;18;1;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;10;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;2;0;1;4;1;0;1;1;0;0;0;0;0;0;1;0;12;8;0;0;1;17;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;8;4;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;3;0;3;0;0;1;0;0;0;0;0;0;2;0;0;0;0;2;8;0;0;0;0;0;0;20;1;0;17;15;0;0;0;0;0;0;0;0;1;12;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;29;0;0;0;1;0;1;0;0;0;0;2;56;0;0;2;0;0;0;0;0;1;1;0;0;0;4;1;4
10079;Sonstiger Mord;747;463;284;18;1;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;8;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;2;0;1;4;1;0;1;1;0;0;0;0;0;0;1;0;12;7;0;0;1;17;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;8;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;2;8;0;0;0;0;0;0;17;1;0;12;14;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;28;0;0;0;1;0;1;0;0;0;0;2;54;0;0;1;0;0;0;0;0;1;1;0;0;0;4;1;4
11000;Mord im Zusammenhang mit Raubdelikten;68;44;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12000;Mord im Zusammenhang mit Sexualdelikten;11;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1884;1046;838;74;3;24;17;0;0;0;0;0;6;2;5;1;0;0;0;0;2;0;1;0;0;6;0;0;0;21;0;0;0;3;0;0;0;0;0;0;0;0;16;1;0;0;1;0;8;3;4;0;17;5;0;6;2;0;1;0;7;0;19;12;0;0;1;22;2;0;0;1;0;1;0;0;1;0;2;0;0;1;0;0;0;1;0;21;6;0;0;0;0;3;10;3;2;0;4;0;0;0;0;0;1;0;18;0;0;13;0;2;0;0;2;0;0;0;0;0;0;5;1;9;1;0;2;25;0;0;0;0;0;0;37;2;0;44;11;0;0;1;0;0;0;0;0;2;21;0;0;0;0;2;0;12;9;1;0;0;0;0;0;8;0;79;0;0;0;2;0;0;0;0;0;2;9;130;0;0;5;4;0;13;1;0;0;2;0;0;0;7;1;6
20010;Totschlag § 212 StGB;1855;1018;837;74;3;24;17;0;0;0;0;0;6;2;5;1;0;0;0;0;2;0;1;0;0;6;0;0;0;21;0;0;0;3;0;0;0;0;0;0;0;0;16;1;0;0;1;0;8;3;4;0;17;5;0;6;2;0;1;0;7;0;19;12;0;0;1;22;2;0;0;1;0;1;0;0;1;0;2;0;0;1;0;0;0;1;0;20;6;0;0;0;0;3;10;3;2;0;4;0;0;0;0;0;1;0;18;0;0;13;0;2;0;0;2;0;0;0;0;0;0;5;1;9;1;0;2;25;0;0;0;0;0;0;37;2;0;44;11;0;0;1;0;0;0;0;0;2;21;0;0;0;0;2;0;12;9;1;0;0;0;0;0;8;0;79;0;0;0;2;0;0;0;0;0;2;9;130;0;0;5;4;0;13;1;0;0;2;0;0;0;7;1;6
20020;Minder schwerer Totschlag § 213 StGB;11;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
